Date,Forecast,Lower CI,Upper CI
2024-06-09,6958.91043483924,6254.880953087109,7679.055170075859
2024-06-10,6963.045245093245,6262.169369217415,7723.947906682682
2024-06-11,7007.63424078226,6377.4759610695455,7757.926264528901
2024-06-12,7020.962209696456,6360.071978922343,7732.5327020827335
2024-06-13,6988.5910306976875,6256.9289911991555,7733.786488333767
2024-06-16,6820.565463530138,6128.680379462107,7497.62077061148
2024-06-17,6829.155109571984,6160.776972861986,7509.185260619038
2024-06-18,6876.443500275433,6222.1795835897965,7546.769305981407
2024-06-19,6890.715868364232,6212.581589444018,7596.604475098675
2024-06-20,6857.580742325104,6142.113749599176,7539.92936112037
2024-06-23,6689.227890871503,5988.194952401981,7377.629695206921
2024-06-24,6695.21379710254,6014.240291418984,7370.93129429801
2024-06-25,6739.00307878622,6060.250317504633,7432.483348960929
2024-06-26,6749.124735494682,6075.595197982281,7480.452320962819
2024-06-27,6711.443610339622,6026.712852191106,7402.483776562282
2024-06-30,6529.687671023384,5830.538200991637,7239.773223021983
2024-07-01,6532.120072477344,5838.078185400089,7265.041422832968
2024-07-02,6573.192075959933,5886.362173395133,7295.150559966451
2024-07-04,6543.445550509292,5881.792952907166,7286.135764090829
2024-07-07,6368.43785544508,5650.790544713911,7030.5073469724675
2024-07-08,6376.046408102166,5681.05742003051,7111.360866796277
2024-07-09,6423.751770528463,5707.155951444457,7096.479470069881
2024-07-10,6440.2158150447385,5779.703632843847,7132.846785352951
2024-07-11,6411.372017697517,5677.153641156854,7130.734274893893
2024-07-14,6270.827344003589,5563.257422662916,6975.6448002975685
2024-07-15,6291.505729563962,5589.7627158746445,7005.131042798857
2024-07-16,6352.748722439337,5656.662230685496,6994.299593999334
2024-07-17,6383.013113104196,5729.122161740754,7106.977056774114
2024-07-21,6267.491579643903,5578.026981128239,6988.124570347195
2024-07-22,6300.421041564647,5560.793888740356,6980.731829870497
2024-07-23,6373.144423255638,5673.2586314999735,7068.998469279089
2024-07-24,6414.020141631995,5732.101466758816,7133.350108285257
2024-07-25,6408.70749861501,5724.228886734241,7109.76564338246
2024-07-28,6331.2977377071775,5606.948453641782,7027.304301544338
2024-07-29,6370.028414692604,5668.097547316218,7098.493887012663
2024-07-30,6447.691530011208,5771.134300386951,7168.050541577572
2024-07-31,6492.733420140425,5867.5291649615665,7193.335578439151
2024-08-01,6490.917666873808,5808.674195205536,7238.16901229369
2024-08-04,6421.175431488313,5730.88340864905,7123.172437327507
2024-08-05,6461.934367793063,5777.3706376708415,7188.229031537436
2024-08-06,6541.559585869072,5848.2257489686635,7207.565934689061
2024-08-07,6588.600817374956,5905.981185511186,7303.414876654306
2024-08-08,6588.909137115991,5957.352446530638,7285.486104789671
2024-08-11,6526.8577034584605,5853.158592512618,7215.287149789782
2024-08-12,6570.6931634774055,5845.453976180365,7284.720347708446
2024-08-13,6653.626086385884,5940.384735118055,7372.488369350134
2024-08-14,6704.154130364428,6020.015058145765,7380.646376152629
2024-08-15,6708.05352722462,6051.318406791105,7403.598147351012
2024-08-18,6656.367027994549,5945.402706662966,7344.038993531903
2024-08-19,6703.106716585646,6003.2577879988785,7334.611398347124
2024-08-20,6788.441247237304,6105.131792466722,7479.351480416474
2024-08-21,6840.730053999145,6115.211569142429,7528.513366238367
2024-08-22,6845.616916293331,6149.524029738049,7534.224699327908
2024-08-27,6915.709506979951,6224.95871753682,7614.309830094659
2024-08-28,6962.468614622713,6283.254122945883,7650.874359617926
2024-08-29,6960.653318253896,6327.227278960938,7686.33074014632
2024-09-02,6912.716696151464,6197.748847265293,7590.835626588917
2024-09-03,6982.522362706437,6273.705362827276,7699.095186178652
2024-09-04,7017.64089126013,6318.513927476011,7730.933262328601
2024-09-05,7003.931722689356,6299.609456300349,7721.267465712591
2024-09-08,6887.793692291597,6194.570874512501,7596.167984416326
2024-09-09,6909.924116832763,6214.8992899912355,7546.661736043683
2024-09-10,6969.558746931892,6269.393192657638,7716.474500162596
2024-09-11,6995.384832417949,6274.385861265149,7718.049886146371
2024-09-12,6973.392363239243,6293.244913017715,7692.805195584387
2024-09-13,6776.380741178392,6052.857302757353,7477.399505092597
2024-09-15,6839.295091685481,6127.943635660125,7568.82610825102
2024-09-16,6857.837832045473,6156.392324983211,7562.302254968904
2024-09-17,6915.041333878858,6216.266470300105,7608.747508706067
2024-09-18,6939.51080418968,6283.710953468389,7664.546386572468
2024-09-19,6917.118664510791,6221.300101615971,7616.596054481048
2024-09-22,6785.924737260921,6106.391795188183,7505.528096837393
2024-09-23,6806.134021060164,6143.6767485215605,7512.812799710268
2024-09-24,6864.978002661033,6155.657234786496,7556.78394425501
2024-09-25,6892.16864371529,6189.233768558125,7525.43289096724
2024-09-26,6872.002040360128,6142.037664949771,7571.9903742120905
2024-09-29,6742.36914206323,6005.36714444913,7443.938905517198
2024-09-30,6760.792226402957,6075.1523287843465,7448.082211078585
2024-10-01,6816.474137474058,6135.434400423137,7508.070175527408
2024-10-02,6837.70816885201,6138.868140069954,7529.867262732876
2024-10-03,6810.101509803137,6125.069070142376,7527.28742867413
2024-10-07,6655.2961038510475,5922.770499804583,7396.477967689638
2024-10-08,6697.274983664873,5971.071583340362,7448.162377389252
2024-10-09,6704.095418158383,6005.950925951789,7462.5667457484005
2024-10-10,6661.632978176007,5990.002058259969,7321.268175461751
2024-10-13,6456.976481447556,5767.325771876062,7120.640762705553
2024-10-14,6449.116330349393,5706.593460843582,7120.775929076439
2024-10-15,6478.709159996259,5770.9207466542375,7161.481990160357
2024-10-16,6474.590088337051,5754.2064427823225,7158.673627089504
2024-10-17,6422.91759698794,5724.559444410676,7069.082444838468
2024-10-20,6203.322924136177,5486.351062981832,6913.903354871438
2024-10-21,6195.268281288123,5495.365876118732,6897.0483718087835
2024-10-22,6227.209475316389,5490.988786512326,6874.475968882218
2024-10-23,6227.9887355864585,5564.904583187411,6919.976137963497
2024-10-27,5999.971295494479,5305.1704484799475,6744.9198114816645
2024-10-28,6007.7166474639,5300.753289662209,6718.850727163049
2024-10-29,6056.920765011512,5375.457778198755,6760.187562565444
2024-10-30,6076.097135200776,5432.396312802548,6744.592066884022
2024-10-31,6051.002352564968,5336.596672221357,6703.367382926599
2024-11-03,5925.835582792978,5216.248143706815,6647.601611444943
2024-11-04,5952.254245724314,5224.755674343394,6670.651786925853
2024-11-05,6019.152227246604,5293.842510864203,6714.325422888763
2024-11-06,6054.757862191935,5385.1806745008025,6763.514308525088
2024-11-07,6044.58553467742,5386.557787786679,6740.963696812507
2024-11-11,5987.46566433415,5307.527856336268,6698.230455378616
2024-11-12,6060.025163489438,5338.454316895794,6729.172304609334
2024-11-13,6099.517414003857,5431.140302228355,6834.091277535968
